Time,ws,rad,VWC_2_Avg,T_2_Avg,LE,H,TKE,Precp
16/07/201613:30:00,1.885912,229.5,0.359,9.38,150.8597432,59.65537625,0.4218821013,0
16/07/201614:00:00,2.148343,226.5,0.359,12.11,119.8084886,65.23238646,0.5554430456,0
16/07/201614:30:00,2.23416,204.3,0.359,12.11,142.0775971,188.8008383,0.5814851441,0.1
16/07/201615:00:00,2.710308,354.5,0.358,13.03,196.5976604,205.8085973,0.6898774605,0.4
16/07/201615:30:00,2.966488,435.1,0.358,13.03,254.1734727,245.5168399,0.7638379354,0
16/07/201616:00:00,2.84,540.4,0.357,17.12,223.0757056,209.7631384,0.6563896275,0
16/07/201616:30:00,3.033255,473.3,0.357,17.12,120.0543667,81.61301092,0.6799401634,0
16/07/201617:00:00,3.042767,236,0.355,17.84,155.2574693,79.57774124,0.7824550286,0
16/07/201617:30:00,2.795319,263.6,0.355,17.84,115.8500641,68.56412793,0.714330148,0
16/07/201618:00:00,1.165214,210.2,0.354,15.06,54.5902793,37.84937735,0.5994063899,0
16/07/201618:30:00,1.160475,114.6,0.354,15.06,26.87204828,17.102468,0.5782624544,0
16/07/201619:00:00,1.27406,61.69,0.353,12.97,31.9903964,14.77359144,0.5395342095,0
16/07/201619:30:00,1.121902,62.1,0.353,12.97,20.44070095,13.04098907,0.4472662373,0
16/07/201620:00:00,0.7599236,46.07,0.352,11.3,10.78405107,7.686759605,0.3841298107,0
16/07/201620:30:00,0.9525445,29.06,0.352,11.3,4.85331456,0.5993098764,0.5314176057,0
16/07/201621:00:00,0.9180682,14.16,0.351,10.39,-4.582597938,-3.772868215,0.4620886724,0.2
16/07/201621:30:00,0.9075706,-1.478,0.351,10.39,-8.776031397,-5.326547855,0.3730486872,0
16/07/201622:00:00,2.419278,-9.04,0.35,9.45,-11.96053066,-11.61703735,0.5265095411,0.1
16/07/201622:30:00,2.265901,-20.11,0.35,9.45,-11.81419748,-15.3963681,0.5012376835,0
16/07/201623:00:00,2.122953,-25.27,0.349,8.5,-12.04723306,-13.70197121,0.3748236731,0
16/07/201623:30:00,2.148156,-24.86,0.349,8.5,-11.7452543,-29.05298841,0.5964241491,0
17/07/201600:00:00,2.362922,-40.83,0.348,8.12,-16.1987443,-15.77062173,0.506093882,0.2
17/07/201600:30:00,1.874268,-32.54,0.348,8.12,-8.631402041,-9.32562813,0.5335555804,0.5
17/07/201601:00:00,2.133051,-19.13,0.347,7.926,-10.28695362,-11.68929534,0.5270686105,0.3
17/07/201601:30:00,2.186291,-23.75,0.347,7.926,-6.347288059,-7.233849019,0.5775544948,0.1
17/07/201602:00:00,1.373884,-15.83,0.347,7.667,-11.66609029,-11.95726469,0.6215029803,0.4
17/07/201602:30:00,1.006016,-26.25,0.347,7.667,-7.95937559,-7.080808788,0.4641379329,0.1
17/07/201603:00:00,0.8995454,-17.92,0.347,7.541,-9.857806185,-4.095914938,0.4408078787,0.8
17/07/201603:30:00,1.722495,-17.15,0.347,7.541,-19.02642244,-7.784128076,0.334957871,0
17/07/201604:00:00,1.383771,-30.26,0.348,7.418,-14.08715934,-16.34680587,0.4317446654,0
17/07/201604:30:00,1.085617,-34.01,0.348,7.418,-26.99911535,-15.88598412,0.3787606166,0.1
17/07/201605:00:00,0.9551491,-46.67,0.349,7.296,-18.67692254,-33.6930884,0.4585373104,0
