Time,H,LE,ws,wd,air_temp,TKE,rad,VWC
23/07/201620:30:00,-53.14418994,40.38730259,2.474648475,160.5480192,283.5119298,3.399275965,-45.79915,0.345
23/07/201621:00:00,-46.45300468,77.0476386,1.707280118,157.866251,283.5224129,2.609844651,-27.82538,0.344
23/07/201621:30:00,-42.22829949,29.18990291,1.427065786,149.9938045,283.2435613,2.067508529,-32.59466,0.344
23/07/201622:00:00,-23.17010614,17.08454143,0.466059221,139.944131,282.3402873,0.607034952,-24.71346,0.344
23/07/201622:30:00,-13.99203704,10.40482698,0.505252343,74.60834976,281.425789,0.457890351,-26.37165,0.343
23/07/201623:00:00,-13.52042623,16.14033199,0.353718973,121.4204058,281.4060663,0.434040711,-25.40502,0.343
23/07/201623:30:00,-2.953517557,-0.867646742,0.476785541,95.93643942,280.8607079,0.22917153,-27.70642,0.343
24/07/201600:00:00,15.77399301,-19.64978317,0.19202156,78.07421455,279.8836365,0.576921562,-51.98566,0.342
24/07/201600:30:00,-44.18200305,17.62665237,0.634495635,116.6154266,278.993012,0.335734824,-44.47679,0.342
24/07/201601:00:00,-18.64627555,5.918395829,0.694949182,134.4547434,279.9254894,0.291488953,-58.31115,0.341
24/07/201602:00:00,-65.69708552,22.93864457,1.086885498,176.6779984,281.4963463,1.045499676,-70.91383,0.341
24/07/201602:30:00,-29.58665299,5.92414169,0.366806278,232.9915921,282.2454356,0.672971854,-66.65294,0.34
24/07/201603:30:00,-48.76232938,13.79562269,1.323713695,245.1727946,281.9375162,2.110886951,-72.94715,0.34
24/07/201604:00:00,-41.88162817,9.266638439,1.200598812,223.3907815,280.9574261,1.231358903,-67.64453,0.339
24/07/201604:30:00,-24.19747516,2.707219217,0.583381612,183.8215207,281.6264454,0.493062719,-68.8909,0.339
24/07/201605:00:00,-20.09800696,-0.032340019,1.175190163,196.0468005,281.6721775,1.055021394,-70.84383,0.339
24/07/201605:30:00,-52.03959745,11.02409053,1.365293405,205.5814835,281.824959,1.207597697,-72.51061,0.338
24/07/201606:00:00,-53.97257966,17.86616098,1.516489841,207.9789495,281.9933798,1.162875732,-67.95432,0.338
24/07/201606:30:00,-56.42021484,18.57468088,1.972226077,210.1769966,282.2326378,1.230362227,-59.18072,0.338
24/07/201607:00:00,-52.39940062,18.04421837,1.466412906,229.1193945,282.36114,1.530553338,-52.99504,0.338
24/07/201607:30:00,-5.72358819,11.18631543,0.901041375,202.1990083,282.8126952,1.941647122,21.35258,0.338
24/07/201608:30:00,34.73538815,45.14600609,1.648042517,122.4447089,283.4516012,1.887717873,225.9239,0.337
24/07/201609:00:00,30.0071602,71.87564776,2.127433034,104.3748299,284.117535,0.951462677,284.87,0.337
24/07/201609:30:00,50.86132525,78.81579577,1.564969629,111.7276991,284.7438191,1.242255445,343.8179,0.338
24/07/201610:00:00,69.38539864,101.9997973,2.191513867,108.1788025,285.5666601,1.225655624,399.3324,0.338
24/07/201610:30:00,105.2447259,126.9923329,1.737346713,122.3359772,286.664469,1.924593802,451.6473,0.338
24/07/201611:00:00,206.2134523,130.5240912,0.377179784,191.630204,287.3861876,2.374558346,495.3438,0.338
24/07/201611:30:00,119.1186579,127.3792886,0.62110008,245.1140722,287.8754108,2.023281686,535.1872,0.338
24/07/201612:00:00,105.6019309,112.1201753,0.293463189,211.9208947,288.6792955,2.919308366,566.7581,0.339
24/07/201612:30:00,147.0003291,195.8676219,1.149905755,172.7346593,289.1433106,2.184684153,591.0706,0.339
24/07/201613:00:00,118.902273,244.3983859,2.578009269,155.9689426,289.5638765,2.147082703,610.0452,0.34
24/07/201613:30:00,180.130413,285.3127388,0.513177338,184.2135678,289.8639951,3.027231995,616.8673,0.34
24/07/201614:00:00,139.3083539,200.4719499,1.392269565,288.7576876,290.2376668,2.260008801,604.1814,0.34
24/07/201614:30:00,125.7830878,166.4654776,1.504309031,317.9568494,290.3667237,1.274371838,541.3231,0.339
24/07/201615:00:00,127.781509,209.8905305,0.582027825,310.4361225,290.4332352,1.87587135,595.4294,0.339
24/07/201615:30:00,162.926533,266.3335795,0.219247117,25.76222511,290.1715022,2.603130034,449.3346,0.339
24/07/201616:00:00,52.591622,122.7450223,1.396011401,337.9678978,290.4308425,0.872603444,319.2248,0.34
24/07/201616:30:00,59.03004625,142.8848895,0.800420781,83.87036633,290.6165276,2.781275489,279.7262,0.339
24/07/201617:00:00,122.3108173,169.5532507,0.894790065,33.32773099,290.4122212,2.339807803,352.7979,0.339
24/07/201617:30:00,27.60785197,136.4023603,0.430526333,114.2731575,289.3770146,2.146803204,218.9038,0.339
24/07/201618:00:00,49.2019477,123.5430986,2.574978075,192.9980288,286.6104816,2.114800997,27.35723,0.339
24/07/201618:30:00,64.47959779,140.3073332,2.479790845,201.2263465,286.3251545,1.813729464,83.75651,0.339
24/07/201619:00:00,48.54757574,125.2180918,2.07652624,211.7392114,285.0617912,1.898886949,32.25706,0.338
24/07/201620:00:00,-36.51244097,42.22102974,1.928336522,216.6067176,284.6803052,1.263368307,-25.92128,0.337
24/07/201620:30:00,-42.83677062,29.19524135,2.108188283,217.9180678,284.2826897,1.753639536,-40.18161,0.336
24/07/201621:00:00,-46.214452,30.92047361,2.175667318,208.5298556,284.1415113,1.562791873,-57.35954,0.336
24/07/201621:30:00,-51.62797163,22.98204113,2.342197333,214.8338653,283.6612508,1.614093271,-54.77521,0.335
24/07/201622:00:00,-30.84621349,14.51646531,1.667652589,202.9564882,282.6951853,0.935094379,-58.5845,0.334
24/07/201622:30:00,-11.58473806,-3.014416626,1.151043413,187.4203149,281.3557768,0.755127798,-55.62315,0.334
24/07/201623:00:00,-8.070679089,-0.052996063,0.93385893,132.622267,281.200624,0.378297371,-57.14925,0.333
24/07/201623:30:00,-18.48726844,5.965000539,0.799162914,151.6763785,279.9903288,0.571741793,-58.02913,0.333
18/08/201600:00:00,-6.942039215,-15.63139842,0.55288521,151.5110536,276.4334064,0.363560437,-9.042587,0.338
18/08/201600:30:00,3.70405637,-6.464050739,0.54077407,126.9685661,276.2932135,0.127496701,-9.104496,0.337
18/08/201601:00:00,-1.495789486,-2.295033188,0.482523059,118.973775,275.305422,0.056339429,-8.920463,0.337
18/08/201601:30:00,-5.415419323,-1.311265101,0.671366478,136.7691325,275.1207122,0.104718384,-8.588778,0.337
18/08/201602:00:00,-7.94223642,9.655805725,0.451353661,120.8011693,275.1038528,0.077941931,-8.367386,0.337
18/08/201602:30:00,-4.377451593,-13.11732094,0.192654679,151.2730964,273.3846371,0.221162072,-8.232759,0.337
18/08/201603:00:00,-0.665766939,-25.04032163,1.179201983,326.7893208,272.0837888,0.495550176,-7.580272,0.336
18/08/201603:30:00,-6.383292185,10.35157739,0.366598949,288.2043164,270.2767254,0.445399486,-8.733555,0.336
18/08/201604:00:00,-4.329870517,8.126664328,0.189363743,230.2119117,270.3850265,0.268181092,-8.791951,0.336
18/08/201605:30:00,-9.955484631,31.18947268,0.872442134,187.7801135,268.1680088,0.61449981,-8.77862,0.335
18/08/201606:00:00,-8.763720836,38.98717199,0.79621475,196.7491182,267.5960899,0.184622856,-8.835262,0.335
18/08/201606:30:00,-16.85808933,272.0639195,0.490260672,206.8234962,269.3802369,0.18774854,-7.716568,0.335
18/08/201607:00:00,-3.547438922,52.32835413,0.431657383,142.5390974,276.0058374,0.064057642,-6.291981,0.335
18/08/201607:30:00,-8.847590199,110.4683542,0.415715946,146.9297565,278.4367032,0.025380413,0.1741197,0.334
18/08/201608:00:00,-13.71293163,229.9782978,0.269912168,134.895727,278.9223217,0.046479184,5.883267,0.334
18/08/201608:30:00,6.320743935,-67.57983013,0.151313371,200.2569717,279.8468835,0.061732724,18.0561,0.334
18/08/201609:00:00,19.357874,0,0.046039191,198.3042289,281.1539178,0.101706713,37.30592,0.334
18/08/201609:30:00,7.15421475,4.683144574,0.348056736,323.5347809,282.2394212,0.159533175,36.3785,0.334
18/08/201610:00:00,-0.655824768,125.0413937,0.46291325,305.4312111,282.9682176,0.049281101,29.03935,0.334
18/08/201610:30:00,1.426552232,82.48021716,0.26345783,310.7066386,283.5326107,0.221793702,38.79685,0.334
18/08/201611:00:00,5.732817152,28.0734364,0.81534327,321.7046816,284.2565726,0.171082401,46.09785,0.334
18/08/201611:30:00,4.231552226,44.68275047,0.752657849,211.0233089,284.8517718,0.31327609,36.41436,0.334
18/08/201612:00:00,-26.83548101,60,0.474453647,225.6117729,285.3643217,0.24533444,34.07595,0.334
18/08/201612:30:00,1.232873763,73.69290917,1.082852219,319.6596953,286.067718,0.390686375,28.7997,0.334
18/08/201613:00:00,-1.544907501,119.0554323,0.852969764,326.7160918,286.5400733,0.317313815,29.15345,0.334
18/08/201613:30:00,6.231146076,-54.98770767,0.456565712,249.9077544,286.5896459,0.28040774,76.23292,0.334
18/08/201614:00:00,46.7533331,0,0.962895663,324.5199304,286.8062185,0.516762111,47.34614,0.334
18/08/201614:30:00,13.13288405,-5.391488116,0.46890662,301.5226341,286.8680195,0.298369829,69.58971,0.335
18/08/201615:00:00,10.2973664,35.58859143,0.53283095,253.6363561,286.9772732,0.720975744,42.12275,0.338
18/08/201615:30:00,19.88093782,69.0738966,0.59400559,289.5789428,287.1951748,0.376093561,196.279,0.34
18/08/201616:00:00,10.79684847,100,0.205512591,334.4534714,287.06176,0.217081427,203.6993,0.339
18/08/201616:30:00,67.77281765,165.5466195,0.429966713,283.9208887,286.9693611,0.216367492,402.7379,0.339
18/08/201617:00:00,101.4269485,194.0879174,1.017012769,303.5641577,286.327155,0.639091298,147.7633,0.34
18/08/201617:30:00,20.64838392,145.7618407,1.144196584,310.8297235,285.6894502,0.328769719,83.51074,0.341
18/08/201618:00:00,13.79861523,-1.819940899,0.569853154,287.5247131,285.7221903,0.226375475,22.60693,0.341
18/08/201618:30:00,-5.099441827,24.91413119,1.017147725,206.7007189,284.1042577,0.249641564,-12.6183,0.341
18/08/201619:00:00,-0.708233692,5.694955928,0.355619687,165.7244342,284.1994658,0.175566152,23.90893,0.34
18/08/201620:30:00,-12.37937016,27.33155817,0.640274008,136.3509713,284.7903924,0.245412289,-21.25774,0.339
18/08/201621:00:00,-11.28259662,27.77417971,0.752775442,135.7373265,282.8736008,0.175645401,-21.37914,0.339
18/08/201621:30:00,-8.592263647,15.18435239,0.74789533,156.0687859,284.1967908,0.301514881,-16.61194,0.339
18/08/201622:00:00,-8.073763912,8.362820476,0.399431976,129.5623621,283.9260549,0.159211688,-25.72402,0.339
18/08/201622:30:00,-7.813636755,17.32415985,0.389720907,116.9865751,283.652615,0.21493877,-15.48383,0.338
18/08/201623:00:00,-3.630361089,-1.409254816,0.584242038,137.551215,284.0534038,0.232022935,-22.62368,0.338
18/08/201623:30:00,-18.32850235,12.55513302,0.701789759,112.2293143,284.003764,0.181654964,-39.71569,0.338
19/08/201600:00:00,-10.84703333,2.123466124,0.350405195,75.67905217,283.4964806,0.452313589,-21.48798,0.338
19/08/201600:30:00,-7.376016728,-1.988218851,0.385191369,133.0775243,281.2249252,0.177149717,-15.02227,0.337
