TIme,ws,rad,VWC_2_Avg,T_2_Avg,LE,H,TKE,Precp
3/07/16 11:30:00,2.614584,7.394,0.277,10.05,14.00864422,4.337549344,1.007152994,0
3/07/16 12:00:00,2.944188,28.24,0.336,9.32,225.1447041,224.226715,1.587065836,0
3/07/16 12:30:00,2.750978,471.5,0.336,9.32,233.0274754,235.121792,1.643518069,0
3/07/16 13:00:00,2.137347,511.3,0.32,16.1,199.8477877,114.6826621,0.9713738429,0
3/07/16 13:30:00,2.690516,357.9,0.32,16.1,263.2995751,68.63008499,1.093946915,0
3/07/16 14:00:00,2.432046,370.5,0.314,18.84,295.9309842,98.80455579,1.064982464,0
3/07/16 14:30:00,2.265617,432.3,0.314,18.84,170.0586966,131.4762393,1.467986212,0
3/07/16 15:00:00,3.066215,343.4,0.311,19.92,216.4984837,49.53657113,1.742191928,0
3/07/16 15:30:00,2.409259,299.6,0.311,19.92,337.5448659,222.699924,1.273329798,0
3/07/16 16:00:00,2.910458,601.8,0.308,17.97,271.9398655,200.6947955,1.498385369,0
3/07/16 16:30:00,3.55103,516.7,0.308,17.97,298.8820899,270.5557878,2.066661256,0
3/07/16 17:00:00,3.519904,610.8,0.305,22.22,154.9485144,81.15180447,1.81002354,0
3/07/16 17:30:00,4.218043,270.2,0.305,22.22,159.7480229,90.6466053,1.89951155,0
3/07/16 18:00:00,4.016986,275.6,0.303,19.75,234.5748459,181.8196798,2.128114841,0
3/07/16 18:30:00,3.981931,435.9,0.303,19.75,58.98813335,5.958259398,1.791607119,0
3/07/16 19:00:00,4.778865,81.5,0.301,16.49,52.66491746,16.45150812,2.098624356,0
3/07/16 19:30:00,5.101265,81.1,0.301,16.49,33.42589643,9.182950258,1.672566676,0
3/07/16 20:00:00,4.817029,50.03,0.3,12.52,108.5474945,-0.3760200286,1.522648294,0
3/07/16 20:30:00,2.688886,112.7,0.3,12.52,61.98477664,13.37508584,1.25484723,0
3/07/16 21:00:00,2.172338,78.85,0.299,11.12,21.9921498,3.231392918,1.170078055,0
3/07/16 21:30:00,3.477385,28.22,0.299,11.12,-17.03727641,-37.33015329,1.425052553,0
3/07/16 22:00:00,4.038307,-53.82,0.298,10.43,-21.03495662,-45.29800232,1.464953337,0
3/07/16 22:30:00,4.616058,-68.29,0.298,10.43,-29.05371871,-43.07121931,1.333072581,0
3/07/16 23:00:00,3.5452,-75.78,0.297,8.84,-31.18747003,-44.96542234,1.471640178,0
3/07/16 23:30:00,2.852669,-81.5,0.297,8.84,-19.40197718,-43.26974746,0.9341676241,0
4/07/16 00:00:00,3.469265,-69.14,0.296,7.847,-28.11509988,-48.21881454,1.101912033,0
4/07/16 00:30:00,3.83821,-83.8,0.296,7.847,-31.70596771,-59.23371959,1.23890432,0
4/07/16 01:00:00,2.451405,-100.1,0.295,6.89,-30.94476416,-48.9873325,1.047791734,0
4/07/16 01:30:00,2.269803,-90,0.295,6.89,-27.30341619,-45.81159333,0.7601545114,0
